qp_id,subtopic_code,question_possibility
U1_CH1_ST2_QP004,U1_CH1_ST2,Missing Set Identification
U1_CH1_ST2_QP005,U1_CH1_ST2,Proper Subset Identification
U1_CH1_ST2_QP006,U1_CH1_ST2,Superset Identification
U1_CH1_ST2_QP007,U1_CH1_ST2,Membership using Inclusion
U1_CH1_ST2_QP008,U1_CH1_ST2,Set Relationship Statements
U1_CH1_ST2_QP009,U1_CH1_ST2,Counterexample to Inclusion
U1_CH1_ST2_QP010,U1_CH1_ST2,Venn Diagram Interpretation
U1_CH1_ST3_QP001,U1_CH1_ST3,Locate Number on Number Line
U1_CH1_ST3_QP002,U1_CH1_ST3,Identify Number from Position
U1_CH1_ST3_QP003,U1_CH1_ST3,Missing Point Identification
U1_CH1_ST3_QP004,U1_CH1_ST3,Compare Positions
U1_CH1_ST3_QP005,U1_CH1_ST3,Zero as Origin
U1_CH1_ST3_QP006,U1_CH1_ST3,Positive and Negative Representation
U1_CH1_ST3_QP007,U1_CH1_ST3,Integer Mapping
U1_CH1_ST3_QP008,U1_CH1_ST3,Number Line Error Detection
U1_CH1_ST4_QP001,U1_CH1_ST4,Greater Than / Less Than
U1_CH1_ST4_QP002,U1_CH1_ST4,Ascending Order
U1_CH1_ST4_QP003,U1_CH1_ST4,Descending Order
U1_CH1_ST4_QP004,U1_CH1_ST4,Largest Number
U1_CH1_ST4_QP005,U1_CH1_ST4,Smallest Number
U1_CH1_ST4_QP006,U1_CH1_ST4,Compare Signed Numbers
U1_CH1_ST4_QP007,U1_CH1_ST4,Ordering Mixed Numbers
U1_CH1_ST4_QP008,U1_CH1_ST4,Ordering after Arithmetic
U1_CH1_ST5_QP001,U1_CH1_ST5,Identify Successor
U1_CH1_ST5_QP002,U1_CH1_ST5,Identify Predecessor
U1_CH1_ST5_QP003,U1_CH1_ST5,Consecutive Numbers
U1_CH1_ST5_QP004,U1_CH1_ST5,Missing Number
U1_CH1_ST5_QP005,U1_CH1_ST5,Boundary Cases
U1_CH1_ST5_QP006,U1_CH1_ST5,Multi-step Successor
U1_CH1_ST5_QP007,U1_CH1_ST5,Multi-step Predecessor
U1_CH1_ST6_QP001,U1_CH1_ST6,Identify Even Number
U1_CH1_ST6_QP002,U1_CH1_ST6,Identify Odd Number
U1_CH1_ST6_QP003,U1_CH1_ST6,Parity after Addition
U1_CH1_ST6_QP004,U1_CH1_ST6,Parity after Subtraction
U1_CH1_ST6_QP005,U1_CH1_ST6,Parity after Multiplication
U1_CH1_ST6_QP006,U1_CH1_ST6,Parity Deduction
U1_CH1_ST6_QP007,U1_CH1_ST6,Missing Number using Parity
U1_CH1_ST7_QP001,U1_CH1_ST7,Definition of Prime Number
U1_CH1_ST7_QP002,U1_CH1_ST7,Definition of Composite Number
U1_CH1_ST7_QP003,U1_CH1_ST7,Identify Prime Number
U1_CH1_ST7_QP004,U1_CH1_ST7,Identify Composite Number
U1_CH1_ST7_QP005,U1_CH1_ST7,Prime vs Composite Classification
U1_CH1_ST7_QP006,U1_CH1_ST7,Smallest Prime Number
U1_CH1_ST7_QP007,U1_CH1_ST7,Smallest Composite Number
U1_CH1_ST7_QP008,U1_CH1_ST7,Is One Prime or Composite
U1_CH1_ST7_QP009,U1_CH1_ST7,Is Zero Prime or Composite
U1_CH1_ST7_QP010,U1_CH1_ST7,Count Factors to Classify
U1_CH1_ST7_QP011,U1_CH1_ST7,Prime Number in a List
U1_CH1_ST7_QP012,U1_CH1_ST7,Composite Number in a List
U1_CH1_ST7_QP013,U1_CH1_ST7,Consecutive Prime Numbers
U1_CH1_ST7_QP014,U1_CH1_ST7,Twin Prime Recognition
U1_CH1_ST7_QP015,U1_CH1_ST7,Statement-based Prime Classification
U1_CH1_ST7_QP016,U1_CH1_ST7,Error Detection in Prime Classification
U1_CH1_ST8_QP001,U1_CH1_ST8,Definition of Co-prime Numbers
U1_CH1_ST8_QP002,U1_CH1_ST8,Identify Co-prime Pair
U1_CH1_ST8_QP003,U1_CH1_ST8,Identify Non Co-prime Pair
U1_CH1_ST8_QP004,U1_CH1_ST8,GCD-based Co-prime Identification
U1_CH1_ST9_QP001,U1_CH1_ST9,Closure under Addition in Natural Numbers
U1_CH1_ST9_QP002,U1_CH1_ST9,Closure under Subtraction in Natural Numbers
U1_CH1_ST9_QP003,U1_CH1_ST9,Closure under Multiplication in Natural Numbers
U1_CH1_ST9_QP004,U1_CH1_ST9,Closure under Division in Natural Numbers
U1_CH1_ST9_QP005,U1_CH1_ST9,Closure under Addition in Whole Numbers
U1_CH1_ST9_QP006,U1_CH1_ST9,Closure under Subtraction in Whole Numbers
U1_CH1_ST9_QP007,U1_CH1_ST9,Closure under Multiplication in Whole Numbers
U1_CH1_ST9_QP008,U1_CH1_ST9,Closure under Division in Whole Numbers
U1_CH1_ST9_QP009,U1_CH1_ST9,Closure under Addition in Integers
U1_CH1_ST9_QP010,U1_CH1_ST9,Closure under Subtraction in Integers
U1_CH1_ST9_QP011,U1_CH1_ST9,Closure under Multiplication in Integers
U1_CH1_ST9_QP012,U1_CH1_ST9,Closure under Division in Integers
U1_CH1_ST9_QP013,U1_CH1_ST9,Identify Operation that Breaks Closure
U1_CH1_ST9_QP014,U1_CH1_ST9,Determine Resulting Number Set after Operation
U1_CH1_ST9_QP015,U1_CH1_ST9,Closure Statement Verification
U1_CH1_ST9_QP016,U1_CH1_ST9,Counterexample to Closure Property
U1_CH1_ST9_QP017,U1_CH1_ST9,Closure using Multiple Operations
U1_CH1_ST9_QP018,U1_CH1_ST9,Closure with Negative Operands
U1_CH1_ST9_QP019,U1_CH1_ST9,Closure with Zero
U1_CH1_ST9_QP020,U1_CH1_ST9,Mixed Closure Reasoning
U1_CH10_ST1_QP001,U1_CH10_ST1,Definition of Greatest Integer Function
U1_CH10_ST1_QP002,U1_CH10_ST1,Evaluate GIF of Positive Integer
U1_CH10_ST1_QP003,U1_CH10_ST1,Evaluate GIF of Positive Decimal
U1_CH10_ST1_QP004,U1_CH10_ST1,Evaluate GIF of Negative Decimal
U1_CH10_ST1_QP005,U1_CH10_ST1,Evaluate GIF of Negative Integer
U1_CH10_ST1_QP006,U1_CH10_ST1,Evaluate GIF of Zero
U1_CH10_ST1_QP007,U1_CH10_ST1,Identify Greatest Integer
U1_CH10_ST1_QP008,U1_CH10_ST1,Statement Verification
U1_CH10_ST1_QP009,U1_CH10_ST1,Counterexample
U1_CH10_ST1_QP010,U1_CH10_ST1,Error Detection
U1_CH10_ST1_QP011,U1_CH10_ST1,Piecewise Interpretation
U1_CH10_ST1_QP012,U1_CH10_ST1,Comparison with Fractional Part Function
U1_CH10_ST2_QP001,U1_CH10_ST2,Range of GIF
U1_CH10_ST2_QP002,U1_CH10_ST2,Domain of GIF
U1_CH10_ST2_QP003,U1_CH10_ST2,Bound Property
U1_CH10_ST2_QP004,U1_CH10_ST2,Translation Property
U1_CH10_ST2_QP005,U1_CH10_ST2,Periodicity Property
U1_CH10_ST2_QP006,U1_CH10_ST2,Monotonicity Property
U1_CH10_ST2_QP007,U1_CH10_ST2,Identity Verification
U1_CH10_ST2_QP008,U1_CH10_ST2,Upper and Lower Bound
U1_CH10_ST2_QP009,U1_CH10_ST2,Property Identification
U1_CH10_ST2_QP010,U1_CH10_ST2,Statement Verification
U1_CH10_ST2_QP011,U1_CH10_ST2,Application of Properties
U1_CH10_ST2_QP012,U1_CH10_ST2,Error Detection
U1_CH10_ST3_QP001,U1_CH10_ST3,Identify Graph
U1_CH10_ST3_QP002,U1_CH10_ST3,Plot GIF
U1_CH10_ST3_QP003,U1_CH10_ST3,Jump Discontinuity Identification
U1_CH10_ST3_QP004,U1_CH10_ST3,Open and Closed Circles
U1_CH10_ST3_QP005,U1_CH10_ST3,Read Function Value
U1_CH10_ST3_QP006,U1_CH10_ST3,Read Interval Behaviour
U1_CH10_ST3_QP007,U1_CH10_ST3,Graph Transformation
U1_CH10_ST3_QP008,U1_CH10_ST3,Horizontal Shift
U1_CH10_ST3_QP009,U1_CH10_ST3,Vertical Shift
U1_CH10_ST3_QP010,U1_CH10_ST3,Graph Based Statement
U1_CH10_ST3_QP011,U1_CH10_ST3,Missing Graph Identification
U1_CH10_ST3_QP012,U1_CH10_ST3,Error Detection
U1_CH10_ST4_QP001,U1_CH10_ST4,Solve Basic GIF Equation
U1_CH10_ST4_QP002,U1_CH10_ST4,Solve Linear GIF Equation
U1_CH10_ST4_QP003,U1_CH10_ST4,Find Number of Solutions
U1_CH10_ST4_QP004,U1_CH10_ST4,Parameter Based Equation
U1_CH10_ST4_QP005,U1_CH10_ST4,Nested GIF Equation
U1_CH10_ST4_QP006,U1_CH10_ST4,Graphical Solution
U1_CH10_ST4_QP007,U1_CH10_ST4,Interval Based Solution
U1_CH10_ST4_QP008,U1_CH10_ST4,Integer Solution Identification
U1_CH10_ST4_QP009,U1_CH10_ST4,Real Solution Identification
U1_CH10_ST4_QP010,U1_CH10_ST4,Statement Verification
U1_CH10_ST4_QP011,U1_CH10_ST4,Application Problem
U1_CH10_ST4_QP012,U1_CH10_ST4,Error Detection
U1_CH10_ST5_QP001,U1_CH10_ST5,Solve Basic GIF Inequality
U1_CH10_ST5_QP002,U1_CH10_ST5,Linear GIF Inequality
U1_CH10_ST5_QP003,U1_CH10_ST5,Strict Inequality
U1_CH10_ST5_QP004,U1_CH10_ST5,Non-strict Inequality
U1_CH10_ST5_QP005,U1_CH10_ST5,Interval Solution
U1_CH10_ST5_QP006,U1_CH10_ST5,Graphical Interpretation
U1_CH10_ST5_QP007,U1_CH10_ST5,Parameter Based Inequality
U1_CH10_ST5_QP008,U1_CH10_ST5,Multiple Interval Solution
U1_CH10_ST5_QP009,U1_CH10_ST5,Statement Verification
U1_CH10_ST5_QP010,U1_CH10_ST5,Graph Selection
U1_CH10_ST5_QP011,U1_CH10_ST5,Application Problem
U1_CH10_ST5_QP012,U1_CH10_ST5,Error Detection
U1_CH10_ST6_QP001,U1_CH10_ST6,Simple Nested GIF
U1_CH10_ST6_QP002,U1_CH10_ST6,Double Nested GIF
U1_CH10_ST6_QP003,U1_CH10_ST6,Nested Expression Evaluation
U1_CH10_ST6_QP004,U1_CH10_ST6,Parameter Based Nested GIF
U1_CH10_ST6_QP005,U1_CH10_ST6,Simplification of Nested GIF
U1_CH10_ST6_QP006,U1_CH10_ST6,Identity involving Nested GIF
U1_CH10_ST6_QP007,U1_CH10_ST6,Equation with Nested GIF
U1_CH10_ST6_QP008,U1_CH10_ST6,Inequality with Nested GIF
U1_CH10_ST6_QP009,U1_CH10_ST6,Graph Interpretation
U1_CH10_ST6_QP010,U1_CH10_ST6,Statement Verification
U1_CH10_ST6_QP011,U1_CH10_ST6,Integrated Mixed Problem
U1_CH10_ST6_QP012,U1_CH10_ST6,Error Detection
U1_CH11_ST1_QP001,U1_CH11_ST1,Definition of Fractional Part Function
U1_CH11_ST1_QP002,U1_CH11_ST1,Evaluate Fractional Part of Positive Decimal
U1_CH11_ST1_QP003,U1_CH11_ST1,Evaluate Fractional Part of Positive Integer
U1_CH11_ST1_QP004,U1_CH11_ST1,Evaluate Fractional Part of Negative Decimal
U1_CH11_ST1_QP005,U1_CH11_ST1,Evaluate Fractional Part of Negative Integer
U1_CH11_ST1_QP006,U1_CH11_ST1,Evaluate Fractional Part of Zero
U1_CH11_ST1_QP007,U1_CH11_ST1,Relation between GIF and Fractional Part
U1_CH11_ST1_QP008,U1_CH11_ST1,Piecewise Definition
U1_CH11_ST1_QP009,U1_CH11_ST1,Statement Verification
U1_CH11_ST1_QP010,U1_CH11_ST1,Counterexample
U1_CH11_ST1_QP011,U1_CH11_ST1,Function Value Identification
U1_CH11_ST1_QP012,U1_CH11_ST1,Error Detection
U1_CH11_ST2_QP001,U1_CH11_ST2,Range of Fractional Part Function
U1_CH11_ST2_QP002,U1_CH11_ST2,Domain of Fractional Part Function
U1_CH11_ST2_QP003,U1_CH11_ST2,Upper Bound Property
U1_CH11_ST2_QP004,U1_CH11_ST2,Lower Bound Property
U1_CH11_ST2_QP005,U1_CH11_ST2,Translation Property
U1_CH11_ST2_QP006,U1_CH11_ST2,Identity Verification
U1_CH11_ST2_QP007,U1_CH11_ST2,Determine Integer Part
U1_CH11_ST2_QP008,U1_CH11_ST2,Recover Original Number
U1_CH11_ST2_QP009,U1_CH11_ST2,Property Identification
U1_CH11_ST2_QP010,U1_CH11_ST2,Statement Verification
U1_CH11_ST2_QP011,U1_CH11_ST2,Application of Properties
U1_CH11_ST2_QP012,U1_CH11_ST2,Error Detection
U1_CH11_ST3_QP001,U1_CH11_ST3,Identify Graph
U1_CH11_ST3_QP002,U1_CH11_ST3,Sketch Graph
U1_CH11_ST3_QP003,U1_CH11_ST3,Read Function Value
U1_CH11_ST3_QP004,U1_CH11_ST3,Open and Closed Circle Identification
U1_CH11_ST3_QP005,U1_CH11_ST3,Jump Discontinuity Identification
U1_CH11_ST3_QP006,U1_CH11_ST3,Graph Transformation
U1_CH11_ST3_QP007,U1_CH11_ST3,Horizontal Shift
U1_CH11_ST3_QP008,U1_CH11_ST3,Vertical Shift
U1_CH11_ST3_QP009,U1_CH11_ST3,Graph Based Statement
U1_CH11_ST3_QP010,U1_CH11_ST3,Missing Graph Identification
U1_CH11_ST3_QP011,U1_CH11_ST3,Application of Graph
U1_CH11_ST3_QP012,U1_CH11_ST3,Error Detection
U1_CH11_ST4_QP001,U1_CH11_ST4,Solve Basic Fractional Part Equation
U1_CH11_ST4_QP002,U1_CH11_ST4,Solve Linear Fractional Part Equation
U1_CH11_ST4_QP003,U1_CH11_ST4,Parameter Based Equation
U1_CH11_ST4_QP004,U1_CH11_ST4,Find Number of Solutions
U1_CH11_ST4_QP005,U1_CH11_ST4,Interval Based Solution
U1_CH11_ST4_QP006,U1_CH11_ST4,Graphical Solution
U1_CH11_ST4_QP007,U1_CH11_ST4,Nested Fractional Part Equation
U1_CH11_ST4_QP008,U1_CH11_ST4,Integer Solution Identification
U1_CH11_ST4_QP009,U1_CH11_ST4,Real Solution Identification
U1_CH11_ST4_QP010,U1_CH11_ST4,Statement Verification
U1_CH11_ST4_QP011,U1_CH11_ST4,Application Problem
U1_CH11_ST4_QP012,U1_CH11_ST4,Error Detection
U1_CH11_ST5_QP001,U1_CH11_ST5,Solve Basic Fractional Part Inequality
U1_CH11_ST5_QP002,U1_CH11_ST5,Linear Fractional Part Inequality
U1_CH11_ST5_QP003,U1_CH11_ST5,Strict Inequality
U1_CH11_ST5_QP004,U1_CH11_ST5,Non-strict Inequality
U1_CH11_ST5_QP005,U1_CH11_ST5,Interval Solution
U1_CH11_ST5_QP006,U1_CH11_ST5,Graphical Interpretation
U1_CH11_ST5_QP007,U1_CH11_ST5,Parameter Based Inequality
U1_CH11_ST5_QP008,U1_CH11_ST5,Multiple Interval Solution
U1_CH11_ST5_QP009,U1_CH11_ST5,Statement Verification
U1_CH11_ST5_QP010,U1_CH11_ST5,Graph Selection
U1_CH11_ST5_QP011,U1_CH11_ST5,Application Problem
U1_CH11_ST5_QP012,U1_CH11_ST5,Error Detection
U1_CH11_ST6_QP001,U1_CH11_ST6,Definition of Periodicity
U1_CH11_ST6_QP002,U1_CH11_ST6,Fundamental Period
U1_CH11_ST6_QP003,U1_CH11_ST6,Evaluate Using Periodicity
U1_CH11_ST6_QP004,U1_CH11_ST6,Graphical Periodicity
U1_CH11_ST6_QP005,U1_CH11_ST6,Translation using Periodicity
U1_CH11_ST6_QP006,U1_CH11_ST6,Identity using Periodicity
U1_CH11_ST6_QP007,U1_CH11_ST6,Equation using Periodicity
U1_CH11_ST6_QP008,U1_CH11_ST6,Inequality using Periodicity
U1_CH11_ST6_QP009,U1_CH11_ST6,Pattern Recognition
U1_CH11_ST6_QP010,U1_CH11_ST6,Statement Verification
U1_CH11_ST6_QP011,U1_CH11_ST6,Integrated Mixed Problem
U1_CH11_ST6_QP012,U1_CH11_ST6,Error Detection
U1_CH12_ST1_QP001,U1_CH12_ST1,Definition of Congruence
U1_CH12_ST1_QP002,U1_CH12_ST1,Identify Congruent Numbers
U1_CH12_ST1_QP003,U1_CH12_ST1,Verify Congruence Statement
U1_CH12_ST1_QP004,U1_CH12_ST1,Find Modulus from Congruence
U1_CH12_ST1_QP005,U1_CH12_ST1,Find Remainder from Congruence
U1_CH12_ST1_QP006,U1_CH12_ST1,Find Missing Integer
U1_CH12_ST1_QP007,U1_CH12_ST1,Congruence Using Division Algorithm
U1_CH12_ST1_QP008,U1_CH12_ST1,Equivalent Congruence Forms
U1_CH12_ST1_QP009,U1_CH12_ST1,Non-congruent Pair Identification
U1_CH12_ST1_QP010,U1_CH12_ST1,Statement Verification
U1_CH12_ST1_QP011,U1_CH12_ST1,Counterexample
U1_CH12_ST1_QP012,U1_CH12_ST1,Error Detection
U1_CH12_ST2_QP001,U1_CH12_ST2,Reflexive Property
U1_CH12_ST2_QP002,U1_CH12_ST2,Symmetric Property
U1_CH12_ST2_QP003,U1_CH12_ST2,Transitive Property
U1_CH12_ST2_QP004,U1_CH12_ST2,Addition Property
U1_CH12_ST2_QP005,U1_CH12_ST2,Subtraction Property
U1_CH12_ST2_QP006,U1_CH12_ST2,Multiplication Property
U1_CH12_ST2_QP007,U1_CH12_ST2,Power Property
U1_CH12_ST2_QP008,U1_CH12_ST2,Property Identification
U1_CH12_ST2_QP009,U1_CH12_ST2,Statement Verification
U1_CH12_ST2_QP010,U1_CH12_ST2,Counterexample
U1_CH12_ST2_QP011,U1_CH12_ST2,Application of Property
U1_CH12_ST2_QP012,U1_CH12_ST2,Error Detection
U1_CH12_ST3_QP001,U1_CH12_ST3,Definition of Residue Class
U1_CH12_ST3_QP002,U1_CH12_ST3,Identify Residue Class
U1_CH12_ST3_QP003,U1_CH12_ST3,Least Non-negative Residue
U1_CH12_ST3_QP004,U1_CH12_ST3,Equivalent Residues
U1_CH12_ST3_QP005,U1_CH12_ST3,Residue Table Completion
U1_CH12_ST3_QP006,U1_CH12_ST3,Residue Pattern Recognition
U1_CH12_ST3_QP007,U1_CH12_ST3,Find Missing Residue
U1_CH12_ST3_QP008,U1_CH12_ST3,Classify Integer into Residue Class
U1_CH12_ST3_QP009,U1_CH12_ST3,Statement Verification
U1_CH12_ST3_QP010,U1_CH12_ST3,Counterexample
U1_CH12_ST3_QP011,U1_CH12_ST3,Application Problem
U1_CH12_ST3_QP012,U1_CH12_ST3,Error Detection
U1_CH12_ST4_QP001,U1_CH12_ST4,Modular Addition
U1_CH12_ST4_QP002,U1_CH12_ST4,Modular Subtraction
U1_CH12_ST4_QP003,U1_CH12_ST4,Modular Multiplication
U1_CH12_ST4_QP004,U1_CH12_ST4,Modular Exponentiation
U1_CH12_ST4_QP005,U1_CH12_ST4,Reduce Large Integer Modulo n
U1_CH12_ST4_QP006,U1_CH12_ST4,Combined Modular Operations
U1_CH12_ST4_QP007,U1_CH12_ST4,Order of Operations
U1_CH12_ST4_QP008,U1_CH12_ST4,Missing Operand
U1_CH12_ST4_QP009,U1_CH12_ST4,Statement Verification
U1_CH12_ST4_QP010,U1_CH12_ST4,Counterexample
U1_CH12_ST4_QP011,U1_CH12_ST4,Application Problem
U1_CH12_ST4_QP012,U1_CH12_ST4,Error Detection
U1_CH12_ST5_QP001,U1_CH12_ST5,Solve Simple Linear Congruence
U1_CH12_ST5_QP002,U1_CH12_ST5,Solve Congruence with Coefficient
U1_CH12_ST5_QP003,U1_CH12_ST5,Existence of Solution
U1_CH12_ST5_QP004,U1_CH12_ST5,Number of Solutions
U1_CH12_ST5_QP005,U1_CH12_ST5,Find Smallest Positive Solution
U1_CH12_ST5_QP006,U1_CH12_ST5,General Solution Form
U1_CH12_ST5_QP007,U1_CH12_ST5,Parameter Based Congruence
U1_CH12_ST5_QP008,U1_CH12_ST5,Missing Coefficient
U1_CH12_ST5_QP009,U1_CH12_ST5,Statement Verification
U1_CH12_ST5_QP010,U1_CH12_ST5,Counterexample
U1_CH12_ST5_QP011,U1_CH12_ST5,Application Problem
U1_CH12_ST5_QP012,U1_CH12_ST5,Error Detection
U1_CH12_ST6_QP001,U1_CH12_ST6,Clock Arithmetic
U1_CH12_ST6_QP002,U1_CH12_ST6,Calendar Problems
U1_CH12_ST6_QP003,U1_CH12_ST6,Cyclic Arrangement Problems
U1_CH12_ST6_QP004,U1_CH12_ST6,Last Digit Problems
U1_CH12_ST6_QP005,U1_CH12_ST6,Repeated Pattern Problems
U1_CH12_ST6_QP006,U1_CH12_ST6,Remainder Based Word Problems
U1_CH12_ST6_QP007,U1_CH12_ST6,Encoding Problems
U1_CH12_ST6_QP008,U1_CH12_ST6,Number Pattern Problems
U1_CH12_ST6_QP009,U1_CH12_ST6,Integrated Modular Arithmetic Problem
U1_CH12_ST6_QP010,U1_CH12_ST6,Method Selection
U1_CH12_ST6_QP011,U1_CH12_ST6,Statement Verification
U1_CH12_ST6_QP012,U1_CH12_ST6,Error Detection
U1_CH13_ST1_QP001,U1_CH13_ST1,Identify Units Digit
U1_CH13_ST1_QP002,U1_CH13_ST1,Units Digit of Large Power
U1_CH13_ST1_QP003,U1_CH13_ST1,Cycle Length Identification
U1_CH13_ST1_QP004,U1_CH13_ST1,Determine Repeating Pattern
U1_CH13_ST1_QP005,U1_CH13_ST1,Odd Exponent Units Digit
U1_CH13_ST1_QP006,U1_CH13_ST1,Even Exponent Units Digit
U1_CH13_ST1_QP007,U1_CH13_ST1,Product Units Digit
U1_CH13_ST1_QP008,U1_CH13_ST1,Sum Units Digit
U1_CH13_ST1_QP009,U1_CH13_ST1,Difference Units Digit
U1_CH13_ST1_QP010,U1_CH13_ST1,Missing Exponent
U1_CH13_ST1_QP011,U1_CH13_ST1,Pattern Recognition
U1_CH13_ST1_QP012,U1_CH13_ST1,Statement Verification
U1_CH13_ST2_QP001,U1_CH13_ST2,Find Last Two Digits
U1_CH13_ST2_QP002,U1_CH13_ST2,Large Power Last Two Digits
U1_CH13_ST2_QP003,U1_CH13_ST2,Pattern Based Last Two Digits
U1_CH13_ST2_QP004,U1_CH13_ST2,Repeated Squaring
U1_CH13_ST2_QP005,U1_CH13_ST2,Mod 100 Reduction
U1_CH13_ST2_QP006,U1_CH13_ST2,Product Last Two Digits
U1_CH13_ST2_QP007,U1_CH13_ST2,Sum Last Two Digits
U1_CH13_ST2_QP008,U1_CH13_ST2,Difference Last Two Digits
U1_CH13_ST2_QP009,U1_CH13_ST2,Missing Exponent
U1_CH13_ST2_QP010,U1_CH13_ST2,Statement Verification
U1_CH13_ST2_QP011,U1_CH13_ST2,Application Problem
U1_CH13_ST2_QP012,U1_CH13_ST2,Error Detection
U1_CH13_ST3_QP001,U1_CH13_ST3,Simple Remainder Problem
U1_CH13_ST3_QP002,U1_CH13_ST3,Remainder of Large Powers
U1_CH13_ST3_QP003,U1_CH13_ST3,Remainder of Product
U1_CH13_ST3_QP004,U1_CH13_ST3,Remainder of Sum
U1_CH13_ST3_QP005,U1_CH13_ST3,Remainder of Difference
U1_CH13_ST3_QP006,U1_CH13_ST3,Remainder of Polynomial
U1_CH13_ST3_QP007,U1_CH13_ST3,Unknown Dividend
U1_CH13_ST3_QP008,U1_CH13_ST3,Unknown Divisor
U1_CH13_ST3_QP009,U1_CH13_ST3,Pattern Recognition
U1_CH13_ST3_QP010,U1_CH13_ST3,Statement Verification
U1_CH13_ST3_QP011,U1_CH13_ST3,Integrated Problem
U1_CH13_ST3_QP012,U1_CH13_ST3,Error Detection
U1_CH13_ST4_QP001,U1_CH13_ST4,Identify Period
U1_CH13_ST4_QP002,U1_CH13_ST4,Find Fundamental Period
U1_CH13_ST4_QP003,U1_CH13_ST4,Pattern Completion
U1_CH13_ST4_QP004,U1_CH13_ST4,Repeated Sequence
U1_CH13_ST4_QP005,U1_CH13_ST4,Cycle Identification
U1_CH13_ST4_QP006,U1_CH13_ST4,Large Index Evaluation
U1_CH13_ST4_QP007,U1_CH13_ST4,Parameter Based Pattern
U1_CH13_ST4_QP008,U1_CH13_ST4,Missing Term
U1_CH13_ST4_QP009,U1_CH13_ST4,Statement Verification
U1_CH13_ST4_QP010,U1_CH13_ST4,Counterexample
U1_CH13_ST4_QP011,U1_CH13_ST4,Application Problem
U1_CH13_ST4_QP012,U1_CH13_ST4,Error Detection
U1_CH13_ST5_QP001,U1_CH13_ST5,Large Exponent Evaluation
U1_CH13_ST5_QP002,U1_CH13_ST5,Modulo Exponent Reduction
U1_CH13_ST5_QP003,U1_CH13_ST5,Units Digit with Huge Exponent
U1_CH13_ST5_QP004,U1_CH13_ST5,Last Two Digits with Huge Exponent
U1_CH13_ST5_QP005,U1_CH13_ST5,Remainder of Huge Power
